uniprot,pdb,name,resolution,method,ok,reason,n_ca,n_chains,n_span,n_dropped,contam_flag,size_cv,c0_invnm,A_foot_nm2,r_out,r_in,r_mid
P09215,7LF3,Protein kinase C delta type,1.13,X-ray,False,no_TM_span,57,0.0,,,,,,,,,
P58242,5KAR,Acid sphingomyelinase-like phosphodiesterase 3b,1.142,X-ray,False,no_TM_span,426,0.0,,,,,,,,,
F2QVG4,2W2E,AQUAPORIN PIP2-7 7,1.15,X-ray,True,,1052,4.0,4.0,0.0,False,0.0,-0.011308422492051,26.06353166,28.119599187087687,28.901325917762502,28.803263350256383
P40343,1VFY,PHOSPHATIDYLINOSITOL-3-PHOSPHATE BINDING FYVE DOMAIN OF PROTEIN VPS27,1.15,X-ray,False,no_TM_span,67,0.0,,,,,,,,,
P44741,3M73,Tellurite resistance protein tehA homolog,1.15,X-ray,True,,939,3.0,3.0,0.0,False,0.0,-0.0298918552113941,31.988883224999995,30.696361069420185,32.9855873057078,31.909838261101104
Q99685,7ZPG,Monoglyceride lipase,1.16,X-ray,False,no_TM_span,306,0.0,,,,,,,,,
P15226,1NPI,Toxin VII,1.16,X-ray,False,no_TM_span,61,0.0,,,,,,,,,
P14598,1KQ6,neutrophil cytosol factor 1,1.18,X-ray,False,no_TM_span,140,0.0,,,,,,,,,
Q41951,5I32,Aquaporin TIP2-1,1.18,X-ray,True,,960,4.0,4.0,0.0,False,0.0,-0.0029769297088975,25.49413672,27.768515896330044,27.97204430681043,28.48690182820378
P60022,1IJV,Beta-defensin 1,1.2,X-ray,False,no_TM_span,36,0.0,,,,,,,,,
P05067,3JQL,Amyloid Beta Peptide,1.2,X-ray,False,no_TM_span,126,0.0,,,,,,,,,
P07360,1LF7,Complement Protein C8gamma,1.2,X-ray,False,no_TM_span,164,0.0,,,,,,,,,
Q26292,2I61,Insect toxin 2,1.2,X-ray,False,no_TM_span,66,0.0,,,,,,,,,
Q1K8B6,5TKG,Lytic polysaccharide monooxygenase,1.2,X-ray,False,no_TM_span,249,0.0,,,,,,,,,
Q7A1I3,2W5Q,PROCESSED GLYCEROL PHOSPHATE LIPOTEICHOIC ACID SYNTHASE,1.2,X-ray,False,no_TM_span,424,0.0,,,,,,,,,
P01175,1XY2,OXYTOCIN,1.2,X-ray,False,too_few_CA,8,,,,,,,,,,
P01494,2SN3,SCORPION NEUROTOXIN (VARIANT 3),1.2,X-ray,False,no_TM_span,65,0.0,,,,,,,,,
P45697,1DJT,ALPHA-LIKE NEUROTOXIN BMK M1,1.2,X-ray,False,no_TM_span,128,0.0,,,,,,,,,
Q5U780,4FKB,Thermostable organic solvent tolerant lipase,1.22,X-ray,False,no_TM_span,409,0.0,,,,,,,,,
B3A043,3H4X,Phosphatidylinositol-specific phospholipase C1,1.23,X-ray,False,no_TM_span,315,0.0,,,,,,,,,
P51151,1WMS,Ras-related protein Rab-9A,1.25,X-ray,False,no_TM_span,170,0.0,,,,,,,,,
P81030,3NEQ,Three-finger muscarinic toxin 7,1.25,X-ray,False,no_TM_span,79,0.0,,,,,,,,,
O75747,2WWE,"PHOSPHOINOSITIDE-3-KINASE, CLASS 2, GAMMA POLYPEPTIDE",1.25,X-ray,False,no_TM_span,106,0.0,,,,,,,,,
Q52369,1M70,Cytochrome c4,1.25,X-ray,False,no_TM_span,190,0.0,,,,,,,,,
C4N147,3PPT,ReP1-NCXSQ,1.28,X-ray,False,no_TM_span,164,0.0,,,,,,,,,
P47709,2CM5,RABPHILIN-3A,1.28,X-ray,False,no_TM_span,146,0.0,,,,,,,,,
Q7LST4,3G7N,Lipase,1.3,X-ray,False,no_TM_span,256,0.0,,,,,,,,,
P00428,7COH,Cytochrome c oxidase subunit 5B,1.3,X-ray,True,,1773,1.0,10.0,9.0,True,0.0,0.0035260664745592,10.27791389,17.90534904113897,17.75228284548992,18.087458639987823
P13183,7COH,Cytochrome c oxidase subunit 7B,1.3,X-ray,True,,1773,1.0,10.0,9.0,True,0.0,0.0035260664745592,10.27791389,17.90534904113897,17.75228284548992,18.087458639987823
P00430,7COH,"Cytochrome c oxidase subunit 7C, mitochondrial",1.3,X-ray,True,,1773,1.0,10.0,9.0,True,0.0,0.0035260664745592,10.27791389,17.90534904113897,17.75228284548992,18.087458639987823
P00426,7COH,Cytochrome c oxidase subunit 5A,1.3,X-ray,True,,1773,1.0,10.0,9.0,True,0.0,0.0035260664745592,10.27791389,17.90534904113897,17.75228284548992,18.087458639987823
P07470,7COH,Cytochrome c oxidase subunit 7A1,1.3,X-ray,True,,1773,1.0,10.0,9.0,True,0.0,0.0035260664745592,10.27791389,17.90534904113897,17.75228284548992,18.087458639987823
P00429,7COH,Cytochrome c oxidase subunit 6B1,1.3,X-ray,True,,1773,1.0,10.0,9.0,True,0.0,0.0035260664745592,10.27791389,17.90534904113897,17.75228284548992,18.087458639987823
P07471,7COH,"Cytochrome c oxidase subunit 6A2, mitochondrial",1.3,X-ray,True,,1773,1.0,10.0,9.0,True,0.0,0.0035260664745592,10.27791389,17.90534904113897,17.75228284548992,18.087458639987823
P10175,7COH,Cytochrome c oxidase subunit 8B,1.3,X-ray,True,,1773,1.0,10.0,9.0,True,0.0,0.0035260664745592,10.27791389,17.90534904113897,17.75228284548992,18.087458639987823
P37957,1ISP,lipase,1.3,X-ray,False,no_TM_span,179,0.0,,,,,,,,,
P00415,7COH,Cytochrome c oxidase subunit 3,1.3,X-ray,True,,1773,1.0,10.0,9.0,True,0.0,0.0035260664745592,10.27791389,17.90534904113897,17.75228284548992,18.087458639987823
O95750,1PWA,Fibroblast growth factor-19,1.3,X-ray,False,no_TM_span,123,0.0,,,,,,,,,
P00423,7COH,Cytochrome c oxidase subunit 4 isoform 1,1.3,X-ray,True,,1773,1.0,10.0,9.0,True,0.0,0.0035260664745592,10.27791389,17.90534904113897,17.75228284548992,18.087458639987823
P68530,7COH,Cytochrome c oxidase subunit 2,1.3,X-ray,True,,1773,1.0,10.0,9.0,True,0.0,0.0035260664745592,10.27791389,17.90534904113897,17.75228284548992,18.087458639987823
P00396,7COH,Cytochrome c oxidase subunit 1,1.3,X-ray,True,,1773,1.0,10.0,9.0,True,0.0,0.0035260664745592,10.27791389,17.90534904113897,17.75228284548992,18.087458639987823
A0A0H2UNQ9,2WTS,PUTATIVE SORTASE,1.3,X-ray,False,no_TM_span,217,0.0,,,,,,,,,
P04038,7COH,Cytochrome c oxidase subunit 6C,1.3,X-ray,True,,1773,1.0,10.0,9.0,True,0.0,0.0035260664745592,10.27791389,17.90534904113897,17.75228284548992,18.087458639987823
P96787,6GUX,Archaerhodopsin-3,1.3,X-ray,True,,268,1.0,1.0,0.0,False,0.0,0.0117598803770154,4.248889019999999,11.317876822907252,10.989647857973983,11.629545908434077
Q9H7P6,3TOW,Multivesicular body subunit 12B,1.34,X-ray,False,no_TM_span,155,0.0,,,,,,,,,
J3KQA0,7TX9,Synaptotagmin,1.34,X-ray,False,no_TM_span,162,0.0,,,,,,,,,
P11407,3G8H,"Phospholipase A2, ammodytoxin C",1.35,X-ray,False,no_TM_span,122,0.0,,,,,,,,,
P21579,7TUA,Synaptotagmin,1.35,X-ray,False,no_TM_span,162,0.0,,,,,,,,,
Q9SPD4,3GNZ,25 kDa protein elicitor,1.35,X-ray,False,no_TM_span,240,0.0,,,,,,,,,
P55260,2ZHJ,Annexin A4,1.35,X-ray,False,no_TM_span,315,0.0,,,,,,,,,
Q96N21,5WFB,AP-4 complex accessory subunit Tepsin,1.382,X-ray,False,no_TM_span,132,0.0,,,,,,,,,
Q9H7X0,5HGZ,N-alpha-acetyltransferase 60,1.383,X-ray,False,no_TM_span,215,0.0,,,,,,,,,
P70158,5FC1,Acid sphingomyelinase-like phosphodiesterase 3a,1.389,X-ray,False,no_TM_span,447,0.0,,,,,,,,,
Q8QGR0,2VLW,MUSCARINIC M1-TOXIN1,1.39,X-ray,False,no_TM_span,65,0.0,,,,,,,,,
Q2FXB0,7P8X,Leucotoxin LukEv,1.4,X-ray,False,no_TM_span,308,0.0,,,,,,,,,
Q9HB21,1EAZ,TANDEM PH DOMAIN CONTAINING PROTEIN-1,1.4,X-ray,False,no_TM_span,103,0.0,,,,,,,,,
P41222,3O22,Prostaglandin-H2 D-isomerase,1.4,X-ray,False,no_TM_span,173,0.0,,,,,,,,,
P69681,1U7G,Probable ammonium transporter,1.4,X-ray,True,,1149,3.0,3.0,0.0,False,0.0,0.0136859878851889,28.83827541,30.96999049249464,29.97482089657109,30.297703153034405
P41597,7P8X,C-C chemokine receptor type 2,1.4,X-ray,False,no_TM_span,308,0.0,,,,,,,,,
Q9BV40,4WY4,Vesicle-associated membrane protein 8,1.4,X-ray,False,no_TM_span,302,0.0,,,,,,,,,
P9WQN9,4QDU,Diacylglycerol acyltransferase/mycolyltransferase Ag85C,1.4,X-ray,False,no_TM_span,287,0.0,,,,,,,,,
P04849,1SVF,PROTEIN (FUSION GLYCOPROTEIN),1.4,X-ray,False,no_TM_span,306,0.0,,,,,,,,,
P37001,3GP6,Protein pagP,1.4,X-ray,True,,155,1.0,1.0,0.0,False,0.0,-0.0499160624382718,3.711974440000001,9.20589761393778,10.508101878251802,10.869950144842155
O95721,4WY4,Synaptosomal-associated protein 29,1.4,X-ray,False,no_TM_span,302,0.0,,,,,,,,,
Q9I596,2ZWS,Neutral ceramidase,1.4,X-ray,False,no_TM_span,691,0.0,,,,,,,,,
Q90VW1,3EBX,ERABUTOXIN B,1.4,X-ray,False,no_TM_span,62,0.0,,,,,,,,,
P56962,4WY4,Syntaxin-17,1.4,X-ray,False,no_TM_span,302,0.0,,,,,,,,,
Q9JIS1,2BWQ,REGULATING SYNAPTIC MEMBRANE EXOCYTOSIS PROTEIN 2,1.41,X-ray,False,no_TM_span,122,0.0,,,,,,,,,
P16442,2RJ6,Glycoprotein-fucosylgalactoside alpha-galactosyltransferase,1.41,X-ray,False,no_TM_span,284,0.0,,,,,,,,,
Q8IYS0,6GN5,GRAM domain-containing protein 1C,1.41,X-ray,False,no_TM_span,194,0.0,,,,,,,,,
O14684,4YL3,Prostaglandin E synthase,1.41,X-ray,True,,459,3.0,3.0,0.0,False,0.0,0.0018453504062534,9.549231375,17.559266634985875,17.482052047021263,17.434490965092536
Q81HW2,7OPH,Potassium channel protein,1.42,X-ray,True,,392,4.0,4.0,0.0,False,0.041,0.0356622423894555,11.097756069999996,18.997386572387484,17.38873295378269,18.795013890756163
Q6ZUM4,3PP2,Rho GTPase-activating protein 27,1.421,X-ray,False,no_TM_span,470,0.0,,,,,,,,,
P0DOF5,4QKM,influenza M2 monomer,1.44,X-ray,True,,108,4.0,4.0,0.0,False,0.0,-0.1478426715878119,2.6401396,7.367919529393234,10.620661045740478,9.16723805508136
Q9R0N7,3N5A,Synaptotagmin-7,1.441,X-ray,False,no_TM_span,156,0.0,,,,,,,,,
B3DUR4,5YKA,Uncharacterized protein KdoO,1.448,X-ray,False,no_TM_span,305,0.0,,,,,,,,,
P28907,3F6Y,ADP-ribosyl cyclase 1,1.45,X-ray,False,no_TM_span,238,0.0,,,,,,,,,
O15530,1W1G,3-PHOSPHOINOSITIDE DEPENDENT PROTEIN KINASE-1,1.45,X-ray,False,no_TM_span,143,0.0,,,,,,,,,
O27564,3LDC,Calcium-gated potassium channel mthK,1.45,X-ray,True,,328,4.0,4.0,0.0,False,0.0,0.0819402670841176,10.466351915,19.134915792407615,15.545437368763247,18.252515680922315
N0DKS8,4XTL,Sodium pumping rhodopsin,1.45,X-ray,True,,296,1.0,1.0,0.0,False,0.0,0.0303260940423932,4.409414470000001,11.815842948883434,10.953573012804297,11.847194680948144
Q9I754,4B62,TSSL1,1.45,X-ray,False,no_TM_span,151,0.0,,,,,,,,,
P43488,2HEW,Tumor necrosis factor ligand superfamily member 4,1.45,X-ray,False,no_TM_span,384,0.0,,,,,,,,,
Q93K99,5FVN,OMPC PORIN,1.45,X-ray,True,,1044,3.0,3.0,0.0,False,0.005,-0.0070512574706899,34.130249175,32.370873805564315,32.9286662248978,32.96057604217297
Q96JA3,5KDI,Pleckstrin homology domain-containing family A member 8,1.45,X-ray,False,no_TM_span,211,0.0,,,,,,,,,
P24305,2FGQ,Outer membrane porin protein 32,1.45,X-ray,True,,999,3.0,3.0,0.0,False,0.0,-0.0131371199850093,35.53321893,32.32451588042731,33.38487688445162,33.63119812518135
Q0HD59,5UM1,Matrix protein 2,1.451,X-ray,True,,108,4.0,4.0,0.0,False,0.0,-0.1456011747658542,2.66643825,7.378410576922243,10.597751348151426,9.212782727675748
Q47765,1O82,PEPTIDE ANTIBIOTIC AS-48,1.46,X-ray,False,no_TM_span,70,0.0,,,,,,,,,
Q9Y243,2X18,RAC-GAMMA SERINE/THREONINE-PROTEIN KINASE,1.46,X-ray,False,no_TM_span,113,0.0,,,,,,,,,
B1H267,3HPC,Snx5 protein,1.47,X-ray,False,no_TM_span,165,0.0,,,,,,,,,
P02945,1M0L,BACTERIORHODOPSIN,1.47,X-ray,True,,666,3.0,3.0,0.0,False,0.0,-0.0060618688650348,19.399139164999998,24.185545984705342,24.547067436030783,24.849422085180706
P01123,2BCG,GTP-binding protein YPT1,1.48,X-ray,False,no_TM_span,636,0.0,,,,,,,,,
Q90249,3I03,Phospholipase A2 homolog bothropstoxin-1,1.48,X-ray,False,no_TM_span,121,0.0,,,,,,,,,
Q9I4G8,5IR4,Arachidonate 15-lipoxygenase,1.48,X-ray,False,no_TM_span,694,0.0,,,,,,,,,
O66905,5XJ5,Glycerol-3-phosphate acyltransferase,1.481,X-ray,True,,205,1.0,1.0,0.0,False,0.0,-0.116778380222808,3.760184230000001,8.586315207586168,11.652535223028034,10.940309932910424
Q9HYC5,4M5E,Uncharacterized protein,1.49,X-ray,False,no_TM_span,414,0.0,,,,,,,,,
P41365,3ICV,Lipase B,1.49,X-ray,False,no_TM_span,594,0.0,,,,,,,,,
D6QLY2,7PZF,OmpK36,1.499,X-ray,True,,1056,3.0,3.0,0.0,False,0.002,-0.0088907787878268,34.16204900499999,32.26507492418865,32.9687109478693,32.975927478369165
A0A093VKV7,5FB7,Envelope glycoprotein,1.5,X-ray,False,no_TM_span,158,0.0,,,,,,,,,
P04002,1WFB,ANTIFREEZE PROTEIN ISOFORM HPLC6,1.5,X-ray,False,no_TM_span,37,0.0,,,,,,,,,
P14555,1N28,"Phospholipase A2, membrane associated",1.5,X-ray,False,no_TM_span,126,0.0,,,,,,,,,
Q13093,3D59,Platelet-activating factor acetylhydrolase,1.5,X-ray,False,no_TM_span,372,0.0,,,,,,,,,
P12676,1B4V,PROTEIN (CHOLESTEROL OXIDASE),1.5,X-ray,False,no_TM_span,498,0.0,,,,,,,,,
P18068,2PLT,PLASTOCYANIN,1.5,X-ray,False,no_TM_span,99,0.0,,,,,,,,,
P00446,1OAL,SUPEROXIDE DISMUTASE,1.5,X-ray,False,no_TM_span,151,0.0,,,,,,,,,
Q9LS02,2BRJ,"ARABIDOPSIS THALIANA GENOMIC DNA, CHROMOSOME 3,",1.5,X-ray,False,no_TM_span,542,0.0,,,,,,,,,
P00451,1D7P,COAGULATION FACTOR VIII PRECURSOR,1.5,X-ray,False,no_TM_span,160,0.0,,,,,,,,,
P9WIP1,1LMI,Immunogenic protein MPT63/MPB63,1.5,X-ray,False,no_TM_span,131,0.0,,,,,,,,,
O75608,1FJ2,PROTEIN (ACYL PROTEIN THIOESTERASE 1),1.5,X-ray,False,no_TM_span,224,0.0,,,,,,,,,
P0AAI3,1LV7,FtsH,1.5,X-ray,False,no_TM_span,251,0.0,,,,,,,,,
Q2FXB1,6U2S,Bi-component leukocidin LukED subunit D,1.5,X-ray,False,no_TM_span,296,0.0,,,,,,,,,
P38713,4IC4,Oxysterol-binding protein homolog 3,1.5,X-ray,False,no_TM_span,372,0.0,,,,,,,,,
Q388M5,7A1R,Synaptotagmin,1.5,X-ray,False,no_TM_span,129,0.0,,,,,,,,,
P35844,1ZHX,KES1 protein,1.5,X-ray,False,no_TM_span,436,0.0,,,,,,,,,
O60200,5JQM,"Protein UPS1, mitochondrial,Mitochondrial distribution and morphology protein 35",1.5,X-ray,False,no_TM_span,235,0.0,,,,,,,,,
A0A1P8FCM7,5O77,OmpK35,1.5,X-ray,True,,1020,3.0,3.0,0.0,False,0.0,-0.0058993406835495,34.190208155,32.46565812783925,32.93273746469837,32.989515404773925
P25740,2IW1,LIPOPOLYSACCHARIDE CORE BIOSYNTHESIS PROTEIN RFAG,1.5,X-ray,False,no_TM_span,370,0.0,,,,,,,,,
P11006,5CGO,ACPC-13 derivative of Ala-Magainin 2,1.5,X-ray,False,no_TM_span,46,0.0,,,,,,,,,
A0A2R4S913,6SU3,48C12 heliorhodopsin,1.5,X-ray,True,,530,2.0,2.0,0.0,False,0.011,0.0178565893425002,11.13729423,18.76510487932209,17.958195686969667,18.828464777423275
P00598,1POA,PHOSPHOLIPASE A2,1.5,X-ray,False,no_TM_span,120,0.0,,,,,,,,,
Q8R183,2OR7,T-cell immunoglobulin and mucin domain-containing protein 2,1.5,X-ray,False,no_TM_span,107,0.0,,,,,,,,,
P38800,5YQJ,Membrane-anchored lipid-binding protein LAM4,1.5,X-ray,False,no_TM_span,177,0.0,,,,,,,,,
P04171,1PMY,PSEUDOAZURIN,1.5,X-ray,False,no_TM_span,123,0.0,,,,,,,,,
P02877,1Q9B,Hevein,1.5,X-ray,False,no_TM_span,43,0.0,,,,,,,,,
P16218,2VI0,Endoglucanase H,1.51,X-ray,False,no_TM_span,294,0.0,,,,,,,,,
W8W3V2,6HHE,Odorant binding protein OBP69a,1.516,X-ray,False,no_TM_span,119,0.0,,,,,,,,,
P32977,4RJW,Porin O,1.52,X-ray,True,,1335,3.0,3.0,0.0,False,0.0,-0.023511945467045,35.02658406,32.235108157899944,34.11929411959222,33.39057948815141
G3CEP6,5AX0,Rhodopsin I,1.521,X-ray,True,,235,1.0,1.0,0.0,False,0.0,-0.0094590494156189,4.207361329999999,10.753896969854267,11.016614289842908,11.572574070129695
Q9Y6X5,4LQY,Bis(5'-adenosyl)-triphosphatase ENPP4,1.54,X-ray,False,no_TM_span,379,0.0,,,,,,,,,
P36969,6HKQ,Phospholipid hydroperoxide glutathione peroxidase,1.54,X-ray,False,no_TM_span,172,0.0,,,,,,,,,
O43521,4A1U,ALPHA-BETA-FOLDAMER 2C,1.54,X-ray,False,no_TM_span,168,0.0,,,,,,,,,
Q07817,4A1U,BCL-2-LIKE PROTEIN 1,1.54,X-ray,False,no_TM_span,168,0.0,,,,,,,,,
Q6H3D7,4H0S,Basic phospholipase A2 homolog CTs-R6,1.55,X-ray,False,no_TM_span,120,0.0,,,,,,,,,
Q16570,7P93,Atypical chemokine receptor 1,1.55,X-ray,False,no_TM_span,308,0.0,,,,,,,,,
A5F934,6EHB,Outer membrane protein U,1.55,X-ray,True,,962,3.0,3.0,0.0,False,0.004,-0.0052621645298875,33.43122316,32.38755188371104,32.79953257454268,32.62129494524169
Q96242,3DSK,"Cytochrome P450 74A, chloroplast",1.55,X-ray,False,no_TM_span,480,0.0,,,,,,,,,
P01468,1TGX,GAMMA-CARDIOTOXIN,1.55,X-ray,False,no_TM_span,60,0.0,,,,,,,,,
P04054,3ELO,Phospholipase A2,1.55,X-ray,False,no_TM_span,137,0.0,,,,,,,,,
P59665,3GNY,Neutrophil defensin 1,1.56,X-ray,False,no_TM_span,60,0.0,,,,,,,,,
Q9EPH0,3LLO,Prestin,1.57,X-ray,False,no_TM_span,136,0.0,,,,,,,,,
A0A9X9ZA75,7ZOU,Synechocystis halorhodopsin,1.58,X-ray,True,,726,3.0,3.0,0.0,False,0.0,-0.0014045573397352,19.817622530000005,24.68158141473097,24.766245955092497,25.116021125882234
W8VZW3,5B2N,Chloride pumping rhodopsin,1.581,X-ray,True,,264,1.0,1.0,0.0,False,0.0,-0.001625745070234,4.447131095,10.934930774265428,10.981353294814342,11.89775521976245
P43155,1NM8,Carnitine O-acetyltransferase,1.6,X-ray,False,no_TM_span,591,0.0,,,,,,,,,
P0AAJ3,1KQF,"FORMATE DEHYDROGENASE, NITRATE-INDUCIBLE, IRON-SULFUR SUBUNIT",1.6,X-ray,True,,4461,3.0,6.0,3.0,True,0.0,0.1013137019877419,8.800487179999998,18.2675086393318,14.19785126506264,16.737031016962682
P30122,2BCE,CHOLESTEROL ESTERASE,1.6,X-ray,False,no_TM_span,532,0.0,,,,,,,,,
Q8WTQ1,5KI9,Beta-defensin 104,1.6,X-ray,False,no_TM_span,43,0.0,,,,,,,,,
A0AA82WPB4,7ZN3,xenorhodopsin,1.6,X-ray,True,,702,3.0,3.0,0.0,False,0.007,0.0079103594588421,20.257595795,25.50053771150728,25.018449540911085,25.39329244478488
A6T9G8,5BOV,Putative epoxide hydrolase protein,1.6,X-ray,False,no_TM_span,309,0.0,,,,,,,,,
P12473,2B4H,Outer capsid protein VP4,1.6,X-ray,False,no_TM_span,445,0.0,,,,,,,,,
P24183,1KQF,"FORMATE DEHYDROGENASE, NITRATE-INDUCIBLE, MAJOR SUBUNIT",1.6,X-ray,True,,4461,3.0,6.0,3.0,True,0.0,0.1013137019877419,8.800487179999998,18.2675086393318,14.19785126506264,16.737031016962682
Q6UV28,1KP4,phospholipase A2,1.6,X-ray,False,no_TM_span,123,0.0,,,,,,,,,
P27338,1S3E,Amine oxidase [flavin-containing] B,1.6,X-ray,False,no_TM_span,499,0.0,,,,,,,,,
P00178,1PO5,Cytochrome P450 2B4,1.6,X-ray,False,no_TM_span,465,0.0,,,,,,,,,
P00083,1CO6,PROTEIN (CYTOCHROME C2),1.6,X-ray,False,no_TM_span,107,0.0,,,,,,,,,
P0DOE7,2VQP,MATRIX PROTEIN,1.6,X-ray,False,no_TM_span,254,0.0,,,,,,,,,
P00099,451C,CYTOCHROME C551,1.6,X-ray,False,no_TM_span,82,0.0,,,,,,,,,
Q9UNN8,1LQV,Endothelial protein C receptor,1.6,X-ray,False,no_TM_span,212,0.0,,,,,,,,,
Q9Y6A2,3MDM,Cholesterol 24-hydroxylase,1.6,X-ray,False,no_TM_span,435,0.0,,,,,,,,,
B9W5G6,4TSQ,Fragaceatoxin C,1.6,X-ray,False,no_TM_span,182,0.0,,,,,,,,,
P04070,1LQV,Vitamin-K dependent protein C,1.6,X-ray,False,no_TM_span,212,0.0,,,,,,,,,
P12838,1ZMM,Neutrophil defensin 4,1.6,X-ray,False,no_TM_span,31,0.0,,,,,,,,,
O43426,2VJ0,SYNAPTOJANIN-1,1.6,X-ray,False,no_TM_span,266,0.0,,,,,,,,,
Q16832,2WUH,DISCOIDIN DOMAIN RECEPTOR 2,1.6,X-ray,False,no_TM_span,246,0.0,,,,,,,,,
P60955,5AZB,Prolipoprotein diacylglyceryl transferase,1.6,X-ray,True,,300,1.0,1.0,0.0,False,0.0,0.1177387911271074,5.627366024999999,15.569194714120815,11.7873084840346,13.38374476345197
Q8GTM0,4CQK,FLOWER-SPECIFIC DEFENSIN,1.6,X-ray,False,no_TM_span,94,0.0,,,,,,,,,
P60623,1RC9,cysteine-rich secretory protein,1.6,X-ray,False,no_TM_span,221,0.0,,,,,,,,,
Q8MTC1,1OW4,pheromone binding protein,1.6,X-ray,False,no_TM_span,120,0.0,,,,,,,,,
Q9Y5W9,4IKD,Sorting nexin-11,1.6,X-ray,False,no_TM_span,159,0.0,,,,,,,,,
Q81BL7,4RYO,Integral membrane protein,1.6,X-ray,True,,151,1.0,1.0,0.0,False,0.0,0.0502776244436015,2.9754321100000003,9.283684734343286,8.109365761183042,9.731954871872846
Q7M9V0,4DGF,SULFATE TRANSPORTER SULFATE TRANSPORTER FAMILY PROTEIN,1.6,X-ray,False,no_TM_span,125,0.0,,,,,,,,,
Q08169,1FCQ,HYALURONOGLUCOSAMINIDASE,1.6,X-ray,False,no_TM_span,314,0.0,,,,,,,,,
Q06681,5YQI,Membrane-anchored lipid-binding protein YSP2,1.6,X-ray,False,no_TM_span,166,0.0,,,,,,,,,
P0C1A2,1PE9,Pectate lyase A,1.6,X-ray,False,no_TM_span,361,0.0,,,,,,,,,
P0AEK7,1KQF,"FORMATE DEHYDROGENASE, NITRATE-INDUCIBLE, CYTOCHROME B556(FDN) SUBUNIT",1.6,X-ray,True,,4461,3.0,6.0,3.0,True,0.0,0.1013137019877419,8.800487179999998,18.2675086393318,14.19785126506264,16.737031016962682
A0A0M3G7Q5,6OM5,haemophore,1.6,X-ray,False,no_TM_span,260,0.0,,,,,,,,,
P80245,1UG4,Cytotoxin 6,1.6,X-ray,False,no_TM_span,60,0.0,,,,,,,,,
P17427,2VJ0,AP-2 COMPLEX SUBUNIT ALPHA-2,1.6,X-ray,False,no_TM_span,266,0.0,,,,,,,,,
P13794,4RLC,Outer membrane porin F,1.6,X-ray,True,,136,1.0,1.0,0.0,False,0.0,-0.0008904747355674,2.442492435,8.138775185702155,8.157619247561705,8.81742303050965
O08838,2VJ0,AMPHIPHYSIN,1.6,X-ray,False,no_TM_span,266,0.0,,,,,,,,,
