uniprot,entity,pdb,name,resolution,method
P70158,5FC1_1,5FC1,Acid sphingomyelinase-like phosphodiesterase 3a,1.389,X-ray
Q8QGR0,2VLW_1,2VLW,MUSCARINIC M1-TOXIN1,1.39,X-ray
Q2FXB0,7P8X_1,7P8X,Leucotoxin LukEv,1.4,X-ray
Q9HB21,1EAZ_1,1EAZ,TANDEM PH DOMAIN CONTAINING PROTEIN-1,1.4,X-ray
P41222,3O22_1,3O22,Prostaglandin-H2 D-isomerase,1.4,X-ray
P69681,1U7G_1,1U7G,Probable ammonium transporter,1.4,X-ray
P41597,7P8X_2,7P8X,C-C chemokine receptor type 2,1.4,X-ray
Q9BV40,4WY4_1,4WY4,Vesicle-associated membrane protein 8,1.4,X-ray
P9WQN9,4QDU_1,4QDU,Diacylglycerol acyltransferase/mycolyltransferase Ag85C,1.4,X-ray
P04849,1SVF_2,1SVF,PROTEIN (FUSION GLYCOPROTEIN),1.4,X-ray
P37001,3GP6_1,3GP6,Protein pagP,1.4,X-ray
O95721,4WY4_4,4WY4,Synaptosomal-associated protein 29,1.4,X-ray
Q9I596,2ZWS_1,2ZWS,Neutral ceramidase,1.4,X-ray
Q90VW1,3EBX_1,3EBX,ERABUTOXIN B,1.4,X-ray
P56962,4WY4_2,4WY4,Syntaxin-17,1.4,X-ray
Q9JIS1,2BWQ_1,2BWQ,REGULATING SYNAPTIC MEMBRANE EXOCYTOSIS PROTEIN 2,1.41,X-ray
P16442,2RJ6_1,2RJ6,Glycoprotein-fucosylgalactoside alpha-galactosyltransferase,1.41,X-ray
Q8IYS0,6GN5_1,6GN5,GRAM domain-containing protein 1C,1.41,X-ray
O14684,4YL3_1,4YL3,Prostaglandin E synthase,1.41,X-ray
Q81HW2,7OPH_1,7OPH,Potassium channel protein,1.42,X-ray
Q6ZUM4,3PP2_1,3PP2,Rho GTPase-activating protein 27,1.421,X-ray
P0DOF5,4QKM_1,4QKM,influenza M2 monomer,1.44,X-ray
Q9R0N7,3N5A_1,3N5A,Synaptotagmin-7,1.441,X-ray
B3DUR4,5YKA_1,5YKA,Uncharacterized protein KdoO,1.448,X-ray
P28907,3F6Y_1,3F6Y,ADP-ribosyl cyclase 1,1.45,X-ray
O15530,1W1G_1,1W1G,3-PHOSPHOINOSITIDE DEPENDENT PROTEIN KINASE-1,1.45,X-ray
O27564,3LDC_1,3LDC,Calcium-gated potassium channel mthK,1.45,X-ray
N0DKS8,4XTL_1,4XTL,Sodium pumping rhodopsin,1.45,X-ray
Q9I754,4B62_1,4B62,TSSL1,1.45,X-ray
P43488,2HEW_1,2HEW,Tumor necrosis factor ligand superfamily member 4,1.45,X-ray
Q93K99,5FVN_1,5FVN,OMPC PORIN,1.45,X-ray
Q96JA3,5KDI_1,5KDI,Pleckstrin homology domain-containing family A member 8,1.45,X-ray
P24305,2FGQ_1,2FGQ,Outer membrane porin protein 32,1.45,X-ray
Q0HD59,5UM1_1,5UM1,Matrix protein 2,1.451,X-ray
Q47765,1O82_1,1O82,PEPTIDE ANTIBIOTIC AS-48,1.46,X-ray
Q9Y243,2X18_1,2X18,RAC-GAMMA SERINE/THREONINE-PROTEIN KINASE,1.46,X-ray
B1H267,3HPC_1,3HPC,Snx5 protein,1.47,X-ray
P02945,1M0L_1,1M0L,BACTERIORHODOPSIN,1.47,X-ray
P01123,2BCG_2,2BCG,GTP-binding protein YPT1,1.48,X-ray
Q90249,3I03_1,3I03,Phospholipase A2 homolog bothropstoxin-1,1.48,X-ray
Q9I4G8,5IR4_1,5IR4,Arachidonate 15-lipoxygenase,1.48,X-ray
O66905,5XJ5_1,5XJ5,Glycerol-3-phosphate acyltransferase,1.481,X-ray
Q9HYC5,4M5E_1,4M5E,Uncharacterized protein,1.49,X-ray
P41365,3ICV_1,3ICV,Lipase B,1.49,X-ray
D6QLY2,7PZF_1,7PZF,OmpK36,1.499,X-ray
A0A093VKV7,5FB7_1,5FB7,Envelope glycoprotein,1.5,X-ray
P04002,1WFB_1,1WFB,ANTIFREEZE PROTEIN ISOFORM HPLC6,1.5,X-ray
P14555,1N28_1,1N28,"Phospholipase A2, membrane associated",1.5,X-ray
Q13093,3D59_1,3D59,Platelet-activating factor acetylhydrolase,1.5,X-ray
P12676,1B4V_1,1B4V,PROTEIN (CHOLESTEROL OXIDASE),1.5,X-ray
P18068,2PLT_1,2PLT,PLASTOCYANIN,1.5,X-ray
P00446,1OAL_1,1OAL,SUPEROXIDE DISMUTASE,1.5,X-ray
Q9LS02,2BRJ_1,2BRJ,"ARABIDOPSIS THALIANA GENOMIC DNA, CHROMOSOME 3,",1.5,X-ray
P00451,1D7P_1,1D7P,COAGULATION FACTOR VIII PRECURSOR,1.5,X-ray
P9WIP1,1LMI_1,1LMI,Immunogenic protein MPT63/MPB63,1.5,X-ray
O75608,1FJ2_1,1FJ2,PROTEIN (ACYL PROTEIN THIOESTERASE 1),1.5,X-ray
P0AAI3,1LV7_1,1LV7,FtsH,1.5,X-ray
Q2FXB1,6U2S_1,6U2S,Bi-component leukocidin LukED subunit D,1.5,X-ray
P38713,4IC4_1,4IC4,Oxysterol-binding protein homolog 3,1.5,X-ray
Q388M5,7A1R_1,7A1R,Synaptotagmin,1.5,X-ray
P35844,1ZHX_1,1ZHX,KES1 protein,1.5,X-ray
O60200,5JQM_1,5JQM,"Protein UPS1, mitochondrial,Mitochondrial distribution and morphology protein 35",1.5,X-ray
A0A1P8FCM7,5O77_1,5O77,OmpK35,1.5,X-ray
P25740,2IW1_1,2IW1,LIPOPOLYSACCHARIDE CORE BIOSYNTHESIS PROTEIN RFAG,1.5,X-ray
P11006,5CGO_1,5CGO,ACPC-13 derivative of Ala-Magainin 2,1.5,X-ray
A0A2R4S913,6SU3_1,6SU3,48C12 heliorhodopsin,1.5,X-ray
P00598,1POA_1,1POA,PHOSPHOLIPASE A2,1.5,X-ray
Q8R183,2OR7_1,2OR7,T-cell immunoglobulin and mucin domain-containing protein 2,1.5,X-ray
P38800,5YQJ_1,5YQJ,Membrane-anchored lipid-binding protein LAM4,1.5,X-ray
P04171,1PMY_1,1PMY,PSEUDOAZURIN,1.5,X-ray
P02877,1Q9B_1,1Q9B,Hevein,1.5,X-ray
P16218,2VI0_1,2VI0,Endoglucanase H,1.51,X-ray
W8W3V2,6HHE_1,6HHE,Odorant binding protein OBP69a,1.516,X-ray
P32977,4RJW_1,4RJW,Porin O,1.52,X-ray
G3CEP6,5AX0_1,5AX0,Rhodopsin I,1.521,X-ray
Q9Y6X5,4LQY_1,4LQY,Bis(5'-adenosyl)-triphosphatase ENPP4,1.54,X-ray
P36969,6HKQ_1,6HKQ,Phospholipid hydroperoxide glutathione peroxidase,1.54,X-ray
O43521,4A1U_2,4A1U,ALPHA-BETA-FOLDAMER 2C,1.54,X-ray
Q07817,4A1U_1,4A1U,BCL-2-LIKE PROTEIN 1,1.54,X-ray
Q6H3D7,4H0S_1,4H0S,Basic phospholipase A2 homolog CTs-R6,1.55,X-ray
Q16570,7P93_2,7P93,Atypical chemokine receptor 1,1.55,X-ray
A5F934,6EHB_1,6EHB,Outer membrane protein U,1.55,X-ray
Q96242,3DSK_1,3DSK,"Cytochrome P450 74A, chloroplast",1.55,X-ray
P01468,1TGX_1,1TGX,GAMMA-CARDIOTOXIN,1.55,X-ray
P04054,3ELO_1,3ELO,Phospholipase A2,1.55,X-ray
P59665,3GNY_1,3GNY,Neutrophil defensin 1,1.56,X-ray
Q9EPH0,3LLO_1,3LLO,Prestin,1.57,X-ray
A0A9X9ZA75,7ZOU_1,7ZOU,Synechocystis halorhodopsin,1.58,X-ray
W8VZW3,5B2N_1,5B2N,Chloride pumping rhodopsin,1.581,X-ray
P43155,1NM8_1,1NM8,Carnitine O-acetyltransferase,1.6,X-ray
P0AAJ3,1KQF_2,1KQF,"FORMATE DEHYDROGENASE, NITRATE-INDUCIBLE, IRON-SULFUR SUBUNIT",1.6,X-ray
P30122,2BCE_1,2BCE,CHOLESTEROL ESTERASE,1.6,X-ray
Q8WTQ1,5KI9_1,5KI9,Beta-defensin 104,1.6,X-ray
A0AA82WPB4,7ZN3_1,7ZN3,xenorhodopsin,1.6,X-ray
A6T9G8,5BOV_1,5BOV,Putative epoxide hydrolase protein,1.6,X-ray
P12473,2B4H_1,2B4H,Outer capsid protein VP4,1.6,X-ray
P24183,1KQF_1,1KQF,"FORMATE DEHYDROGENASE, NITRATE-INDUCIBLE, MAJOR SUBUNIT",1.6,X-ray
Q6UV28,1KP4_1,1KP4,phospholipase A2,1.6,X-ray
P27338,1S3E_1,1S3E,Amine oxidase [flavin-containing] B,1.6,X-ray
P00178,1PO5_1,1PO5,Cytochrome P450 2B4,1.6,X-ray
P00083,1CO6_1,1CO6,PROTEIN (CYTOCHROME C2),1.6,X-ray
P0DOE7,2VQP_1,2VQP,MATRIX PROTEIN,1.6,X-ray
P00099,451C_1,451C,CYTOCHROME C551,1.6,X-ray
Q9UNN8,1LQV_1,1LQV,Endothelial protein C receptor,1.6,X-ray
Q9Y6A2,3MDM_1,3MDM,Cholesterol 24-hydroxylase,1.6,X-ray
B9W5G6,4TSQ_1,4TSQ,Fragaceatoxin C,1.6,X-ray
P04070,1LQV_2,1LQV,Vitamin-K dependent protein C,1.6,X-ray
P12838,1ZMM_1,1ZMM,Neutrophil defensin 4,1.6,X-ray
O43426,2VJ0_2,2VJ0,SYNAPTOJANIN-1,1.6,X-ray
Q16832,2WUH_1,2WUH,DISCOIDIN DOMAIN RECEPTOR 2,1.6,X-ray
P60955,5AZB_1,5AZB,Prolipoprotein diacylglyceryl transferase,1.6,X-ray
Q8GTM0,4CQK_1,4CQK,FLOWER-SPECIFIC DEFENSIN,1.6,X-ray
P60623,1RC9_1,1RC9,cysteine-rich secretory protein,1.6,X-ray
Q8MTC1,1OW4_1,1OW4,pheromone binding protein,1.6,X-ray
Q9Y5W9,4IKD_1,4IKD,Sorting nexin-11,1.6,X-ray
Q81BL7,4RYO_1,4RYO,Integral membrane protein,1.6,X-ray
Q7M9V0,4DGF_1,4DGF,SULFATE TRANSPORTER SULFATE TRANSPORTER FAMILY PROTEIN,1.6,X-ray
Q08169,1FCQ_1,1FCQ,HYALURONOGLUCOSAMINIDASE,1.6,X-ray
Q06681,5YQI_1,5YQI,Membrane-anchored lipid-binding protein YSP2,1.6,X-ray
P0C1A2,1PE9_1,1PE9,Pectate lyase A,1.6,X-ray
P0AEK7,1KQF_3,1KQF,"FORMATE DEHYDROGENASE, NITRATE-INDUCIBLE, CYTOCHROME B556(FDN) SUBUNIT",1.6,X-ray
A0A0M3G7Q5,6OM5_1,6OM5,haemophore,1.6,X-ray
P80245,1UG4_1,1UG4,Cytotoxin 6,1.6,X-ray
P17427,2VJ0_1,2VJ0,AP-2 COMPLEX SUBUNIT ALPHA-2,1.6,X-ray
P13794,4RLC_1,4RLC,Outer membrane porin F,1.6,X-ray
O08838,2VJ0_3,2VJ0,AMPHIPHYSIN,1.6,X-ray
A0A6L8PZR0,1RZ2_1,1RZ2,conserved hypothetical protein BA4783,1.6,X-ray
P49121,1S8I_1,1S8I,Phospholipase A2 homolog,1.609,X-ray
Q16647,3B6H_1,3B6H,Prostacyclin synthase,1.62,X-ray
Q06135,2W61_1,2W61,GLYCOLIPID-ANCHORED SURFACE PROTEIN 2,1.62,X-ray
P61869,5CH8_1,5CH8,Mono- and diacylglycerol lipase,1.62,X-ray
Q6K209,6LCQ_1,6LCQ,Defensin-like protein CAL1,1.62,X-ray
Q6YWF1,4RJ9_1,4RJ9,C2 domain-containing protein-like,1.63,X-ray
Q65HR4,6NKC_1,6NKC,"Lipase, Lip_vut1",1.631,X-ray
Q02111,4FKD_1,4FKD,Protein kinase C theta type,1.633,X-ray
Q59UP8,5AF1_1,5AF1,MEP2,1.639,X-ray
Q9I2V0,5B49_1,5B49,"UDP-2,3-diacylglucosamine hydrolase",1.65,X-ray
P27485,1AQB_1,1AQB,RETINOL-BINDING PROTEIN,1.65,X-ray
D6QLY0,5O79_1,5O79,OmpK36,1.65,X-ray
P0AD27,5I5H_1,5I5H,Inner membrane protein YejM,1.65,X-ray
Q3IUY6,3OIZ_1,3OIZ,"Antisigma-factor antagonist, STAS",1.65,X-ray
O67854,2A65_1,2A65,Na(+):neurotransmitter symporter (Snf family),1.65,X-ray
P0A910,1QJP_1,1QJP,OUTER MEMBRANE PROTEIN A,1.65,X-ray
Q01523,1ZMP_1,1ZMP,Defensin 5,1.65,X-ray
Q9FHP6,5A52_1,5A52,CALCIUM-DEPENDENT LIPID-BINDING DOMAIN-CONTAINING PROTEIN,1.65,X-ray
O70632,3LBW_1,3LBW,M2 protein,1.65,X-ray
P39301,4RP9_1,4RP9,Ascorbate-specific permease IIC component UlaA,1.651,X-ray
P22629,1MM9_1,1MM9,Streptavidin,1.66,X-ray
E2FYL5,3W57_1,3W57,C2 domain protein,1.662,X-ray
Q95114,3BN6_1,3BN6,Lactadherin,1.67,X-ray
O00443,6BTY_1,6BTY,Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha,1.678,X-ray
P61586,3LXR_1,3LXR,Transforming protein RhoA,1.68,X-ray
Q9C4Z5,2F2B_1,2F2B,Aquaporin aqpM,1.68,X-ray
P40485,4A6F_2,4A6F,"PHOSPHATIDYLINOSITOL 4,5-BISPHOSPHATE-BINDING PROTEIN SLM1",1.68,X-ray
Q9I0Y7,5AZP_1,5AZP,Multidrug efflux outer membrane protein OprN,1.69,X-ray
P60061,7O82_1,7O82,Arginine/agmatine antiporter,1.69,X-ray
Q8TDQ0,7M3Y_1,7M3Y,Hepatitis A virus cellular receptor 2,1.69,X-ray
P78583,5XK2_1,5XK2,Diacylglycerol lipase,1.695,X-ray
F9RBV9,4QND_1,4QND,Chemical transport protein,1.698,X-ray
S4UX02,5YLW_1,5YLW,Ferruginol synthase,1.7,X-ray
D5F6K1,6US8_1,6US8,Matrix protein 2,1.7,X-ray
Q15080,1H6H_1,1H6H,NEUTROPHIL CYTOSOL FACTOR 4,1.7,X-ray
Q05655,1YRK_1,1YRK,"Protein kinase C, delta type",1.7,X-ray
P09527,1VG8_1,1VG8,Ras-related protein Rab-7,1.7,X-ray
P10384,3PGU_1,3PGU,Long-chain fatty acid transport protein,1.7,X-ray
P09391,2XTV_1,2XTV,RHOMBOID PROTEASE GLPG,1.7,X-ray
P09216,1GMI_1,1GMI,"PROTEIN KINASE C, EPSILON TYPE",1.7,X-ray
P24605,1Y4L_1,1Y4L,Phospholipase A2 homolog 2,1.7,X-ray
Q8I2X3,3TGH_1,3TGH,Glideosome-associated protein 50,1.7,X-ray
P32916,1NRJ_1,1NRJ,Signal recognition particle receptor alpha subunit homolog,1.7,X-ray
P28472,7A5V_1,7A5V,"Gamma-aminobutyric acid receptor subunit beta-3,Gamma-aminobutyric acid receptor subunit beta-3",1.7,EM
P00626,3G8G_1,3G8G,"Phospholipase A2, ammodytoxin A",1.7,X-ray
O88339,1H0A_1,1H0A,EPSIN,1.7,X-ray
P36057,1NRJ_2,1NRJ,Signal recognition particle receptor beta subunit,1.7,X-ray
Q94IP1,6VBY_1,6VBY,Cinnamic acid 4-hydroxylase,1.7,X-ray
Q9WUL7,1FZQ_1,1FZQ,ADP-RIBOSYLATION FACTOR-LIKE PROTEIN 3,1.7,X-ray
P04273,3NVE_1,3NVE,Major prion protein,1.7,X-ray
A0A0H2WX25,4Q7G_1,4Q7G,Leucotoxin LukDv,1.7,X-ray
P79345,1NEP_1,1NEP,Epididymal secretory protein E1,1.7,X-ray
Q40128,4UJ0_1,4UJ0,FLOWER-SPECIFIC GAMMA-THIONIN-LIKE PROTEIN/ACIDIC PROTEIN,1.7,X-ray
Q5T8D3,3FLV_1,3FLV,Acyl-CoA-binding domain-containing protein 5,1.7,X-ray
A2AR50,2DTC_1,2DTC,RAL GUANINE NUCLEOTIDE EXCHANGE FACTOR RALGPS1A,1.7,X-ray
Q48EL2,3Q34_1,3Q34,YceI-like family protein,1.7,X-ray
Q86WV1,1U5D_1,1U5D,Src Kinase-associated Phosphoprotein of 55 kDa,1.7,X-ray
Q9P8F7,3O0D_1,3O0D,Triacylglycerol lipase,1.7,X-ray
P01543,1BHP_1,1BHP,BETA-PUROTHIONIN,1.7,X-ray
Q9SWS1,4O6Y_1,4O6Y,Probable transmembrane ascorbate ferrireductase 2,1.7,X-ray
Q93VK5,6L8I_1,6L8I,"Protein LUTEIN DEFICIENT 5, chloroplastic",1.7,X-ray
P12263,4MO3_1,4MO3,Coagulation factor VIII,1.702,X-ray
Q48391,4D5B_1,4D5B,CYMA,1.702,X-ray
Q93MW7,5MAL_1,5MAL,Lipase,1.708,X-ray
P9WQN7,1R88_1,1R88,MPT51/MPB51 antigen,1.71,X-ray
B4F366,7B1Z_1,7B1Z,Virulence associated protein VapB,1.71,X-ray
P07845,1GWY_1,1GWY,STICHOLYSIN II,1.71,X-ray
P0CE80,3RLH_1,3RLH,Dermonecrotic toxin LiSicTox-alphaIA1a,1.72,X-ray
O29285,2B2F_1,2B2F,ammonium transporter,1.72,X-ray
O53581,5W95_1,5W95,Conserved membrane protein of uncharacterised function,1.723,X-ray
P0C0Y7,7P0Q_1,7P0Q,Reaction center protein H chain,1.73,X-ray
P0C0Y8,7P0Q_2,7P0Q,Reaction center protein L chain,1.73,X-ray
P0C0Y9,7P0Q_3,7P0Q,Reaction center protein M chain,1.73,X-ray
A6T5R0,7SS7_1,7SS7,"UDP-2,3-diacylglucosamine hydrolase",1.73,X-ray
Q5ZIS0,2H88_4,2H88,"Succinate dehydrogenase cytochrome B, small subunit",1.74,X-ray
Q9YHT2,2H88_2,2H88,Succinate dehydrogenase Ip subunit,1.74,X-ray
Q9YHT1,2H88_1,2H88,SUCCINATE DEHYDROGENASE FLAVOPROTEIN SUBUNIT,1.74,X-ray
Q96L92,4HAS_1,4HAS,Sorting nexin-27,1.74,X-ray
D0VWW3,2H88_3,2H88,"SUCCINATE DEHYDROGENASE CYTOCHROME B, LARGE SUBUNIT",1.74,X-ray
A0A0D5YKR4,5DL7_1,5DL7,Porin,1.75,X-ray
P52956,3GBS_1,3GBS,Cutinase 1,1.75,X-ray
P0A901,1QWD_1,1QWD,Outer membrane lipoprotein blc,1.75,X-ray
P19835,6H1A_1,6H1A,Bile salt-activated lipase,1.75,X-ray
P01538,1OKH_1,1OKH,VISCOTOXIN A3,1.75,X-ray
O35298,5W7D_1,5W7D,Acyloxyacyl hydrolase,1.75,X-ray
Q8I914,1XX1_1,1XX1,Sphingomyelinase I,1.75,X-ray
Q8RNT4,4G32_1,4G32,15S-LIPOXYGENASE,1.75,X-ray
K0J3J2,4HYQ_1,4HYQ,phospholipase A1,1.75,X-ray
P82114,7LYE_1,7LYE,Basic phospholipase A2 homolog BomoTx,1.758,X-ray
P05880,2FX7_3,2FX7,Fragment of HIV glycoprotein (GP41),1.76,X-ray
P24280,7ZG9_1,7ZG9,SEC14 cytosolic factor,1.764,X-ray
Q9HYC4,4LUQ_2,4LUQ,Uncharacterized protein,1.77,X-ray
O43914,4WOL_1,4WOL,TYRO protein tyrosine kinase-binding protein,1.77,X-ray
Q3KK31,3PJV_1,3PJV,Cyclic dimeric GMP binding protein,1.7727,X-ray
P17596,2BS2_2,2BS2,QUINOL-FUMARATE REDUCTASE IRON-SULFUR SUBUNIT B,1.78,X-ray
P17413,2BS2_3,2BS2,QUINOL-FUMARATE REDUCTASE DIHEME CYTOCHROME B SUBUNIT C,1.78,X-ray
Q62768,2CJS_1,2CJS,UNC-13 HOMOLOG A,1.78,X-ray
Q5FBD2,6U3F_1,6U3F,Panton-Valentine Leucocidin F,1.78,X-ray
Q8NFU1,8D1E_1,8D1E,Bestrophin-2,1.78,EM
P17412,2BS2_1,2BS2,QUINOL-FUMARATE REDUCTASE FLAVOPROTEIN SUBUNIT A,1.78,X-ray
Q99P87,1RGX_1,1RGX,Resistin,1.787,X-ray
O34349,6FMX_1,6FMX,Phosphatidylglycerophosphatase B,1.79,X-ray
O64989,6A15_1,6A15,Cytochrome P450 90B1,1.79,X-ray
Q8AXY1,1UMV_1,1UMV,HYPOTENSIVE PHOSPHOLIPASE A2,1.79,X-ray
O00299,1RK4_1,1RK4,CHLORIDE INTRACELLULAR CHANNEL PROTEIN 1,1.792,X-ray
P9WK45,3MH9_1,3MH9,Lipoprotein lprG,1.794,X-ray
B7JBP8,3SX6_1,3SX6,Sulfide-quinone reductase,1.7955,X-ray
Q13393,6U8Z_1,6U8Z,"Phospholipase D1,Phospholipase D1",1.799,X-ray
W6Q990,6L7N_1,6L7N,"Lipase, class 3",1.8,X-ray
P04058,1EA5_1,1EA5,ACETYLCHOLINESTERASE,1.8,X-ray
P9WQP1,1F0N_1,1F0N,ANTIGEN 85B,1.8,X-ray
P9WPG7,6H59_1,6H59,CDP-diacylglycerol--inositol 3-phosphatidyltransferase,1.8,X-ray
P17900,2AG4_1,2AG4,Ganglioside GM2 activator,1.8,X-ray
P77774,3PRW_1,3PRW,Lipoprotein yfgL,1.8,X-ray
B7IE18,6NC9_1,6NC9,Lipid II flippase MurJ,1.8,X-ray
B7FRW2,6A2W_1,6A2W,Protein fucoxanthin chlorophyl a/c protein,1.8,X-ray
P82543,3S8G_3,3S8G,Cytochrome c oxidase polypeptide 2A,1.8,X-ray
P69856,2WJR_1,2WJR,PROBABLE N-ACETYLNEURAMINIC ACID OUTER MEMBRANE CHANNEL PROTEIN NANC,1.8,X-ray
Q9RFC8,4UC1_1,4UC1,Translocator protein TspO,1.8,X-ray
