pdb,name,n_subunit_uniprots,uniprots,c0_invnm,A_foot_nm2,E_curv_kBT,n_chains,contam_flag,resolution,rank,clears_gate,abs_c0,is_original13,rep_uniprot,n_label_go,label_positive
7DDQ,Antenna pigment protein alpha chain,6,"A0A2T4JIL7,A0A2T4JIN0,A0A2T4JIP3,A0A2T4JIP4,A0A2T4JIR4,A0A2T4JIS6",0.1172322563738556,14.651422520000004,8.054415544184966,3.0,True,2.84,65,False,0.1172322563738556,False,A0A2T4JIL7,0,False
7E1V,Prokaryotic respiratory supercomplex associate factor 1 PRSAF1,1,A0QVH4,0.0483495874897646,83.158647625,7.7759409783948765,4.0,True,2.68,66,False,0.0483495874897646,False,A0QVH4,0,False
7WRE,Transient receptor potential cation channel subfamily M member 8,1,Q8R4D5,-0.0659353061344869,44.563143135,7.749467480939656,4.0,False,2.52,67,False,0.0659353061344869,False,Q8R4D5,0,False
6M31,Digeranylgeranylglyceryl phosphate synthase,1,Q57727,-0.0960173052447453,20.9230447,7.71585221102603,2.0,False,2.3,68,False,0.0960173052447453,False,Q57727,0,False
7E1W,Cytochrome c oxidase subunit 3,7,"A0R049,A0R056,A0R057,A0R1B6,P9WH23,P9WP35,P9WP37",0.0481097404132957,82.389735775,7.627797034906371,4.0,True,2.67,69,False,0.0481097404132957,False,A0R049,0,False
7ZP9,Ktr system potassium uptake protein B,2,"O87952,O87953",0.0872438248223007,24.932592400000004,7.590962092254754,2.0,False,2.82,70,False,0.0872438248223007,False,O87952,0,False
7AGX,Surface presentation of antigens protein SpaP,3,"P0A1L7,P40700,P40701",0.1340402687634962,10.476038514999995,7.528832890818036,4.0,False,3.6,71,False,0.1340402687634962,False,P0A1L7,0,False
7C9R,Antenna complex alpha/beta subunit,10,"G1BIY4,G1BIY5,G1BIY6,G1BIY7,G1BIY9,G1BIZ0,H8Z0X5,H8Z3R9,H8Z3S2,H8Z3S4",0.1109015333965802,15.254167355000002,7.504531763913023,3.0,True,2.82,72,False,0.1109015333965802,False,G1BIY4,0,False
7QHM,Cytochrome c oxidase subunit 3,12,"P42461,Q79VD7,Q79VE8,Q79VE9,Q8NMB4,Q8NNK2,Q8NNK3,Q8NNK5,Q8NP09,Q8NSJ8,Q8NTD4,Q9AEL8",0.0508169172981173,71.99389589999998,7.436563641885725,4.0,True,2.8,73,False,0.0508169172981173,False,P42461,0,False
7ZNQ,Probable ABC transporter binding protein NosD,4,"P19843,P19844,P19845,Q52529",0.1166491312433901,13.482378735,7.338199786628105,2.0,False,3.04,74,False,0.1166491312433901,False,P19843,0,False
6WHG,Calcium channel YVC1,1,Q12324,-0.0530271304417856,65.226639485,7.336370353758258,4.0,False,3.1,75,False,0.0530271304417856,False,Q12324,0,False
7AR7,NADH dehydrogenase [ubiquinone] iron-sulfur protein 5-A,1,O82238,-0.1196222605850149,12.454931594999998,7.12894638671168,1.0,True,3.72,76,False,0.1196222605850149,False,O82238,0,False
7PIL,Light-harvesting protein B-875 alpha chain,7,"P13402,Q3J170,Q3J1A3,Q3J1A4,Q3J1A5,Q3J1A6,U5NME9",0.1110468334212789,14.263189249999996,7.035403227631905,3.0,True,2.5,77,False,0.1110468334212789,False,P13402,0,False
2J58,OUTER MEMBRANE LIPOPROTEIN WZA,1,Q9X4B7,-0.1472611571351178,7.872424085000001,6.8288078101564365,8.0,False,2.25,78,False,0.1472611571351178,False,Q9X4B7,0,False
6YVR,"Neurotensin receptor type 1,Neurotensin receptor type 1,DARPin crystallisation chaperone",1,P20789,0.0905103536260935,19.390520055,6.353981876650731,1.0,False,2.458,79,False,0.0905103536260935,False,P20789,0,False
7QBA,Nitrous-oxide reductase,1,P19573,0.1147712644681041,12.022162710000003,6.334450192350476,2.0,False,3.78,80,False,0.1147712644681041,False,P19573,0,False
7RK6,BK channel,1,Q5QJC5,-0.053443090361341,54.46882054,6.222875172135469,4.0,False,2.91,81,False,0.053443090361341,False,Q5QJC5,0,False
6UZ8,Short transient receptor potential channel 6,1,Q9Y210,-0.0594432066556733,43.98443315499999,6.216750664170685,4.0,False,2.84,82,False,0.0594432066556733,False,Q9Y210,0,False
8SBB,Alkane 1-monooxygenase,1,A0A1I2KHB9,-0.1815146713088731,4.684988150000001,6.174360106578033,1.0,False,3.59,83,False,0.1815146713088731,False,A0A1I2KHB9,0,False
4Q2G,Phosphatidate cytidylyltransferase,1,Q9X1B7,-0.0960937932155368,16.699205819999996,6.168030080291783,2.0,False,3.4,84,False,0.0960937932155368,False,Q9X1B7,0,False
6XI0,Ubiquinol-cytochrome c reductase iron-sulfur subunit,3,"D5ANZ2,D5ANZ3,D5ANZ4",0.0797465956665249,24.15212876000001,6.143837372337573,2.0,True,3.3,85,False,0.0797465956665249,False,D5ANZ2,0,False
8GHF,Calcium-activated potassium channel subunit alpha-1,1,Q12791,-0.0521450716350947,56.471509825000005,6.14208648549829,4.0,False,2.7,86,False,0.0521450716350947,False,Q12791,0,False
6Z5S,Light harvesting complex 1 Protein W,6,"A0A4Z7,A0A4Z9,O83005,Q6N1K3,Q6N9L4,Q6N9L5",0.1030798896785675,14.257371055,6.059647119083417,3.0,True,2.65,87,False,0.1030798896785675,False,A0A4Z7,0,False
7DZ7,"Photosystem I reaction center subunit VI, chloroplastic",2,"P13352,Q9ZSJ4",0.0640975623319212,36.84577138999999,6.055230381078511,2.0,True,2.84,88,False,0.0640975623319212,False,P13352,0,False
1EYS,PHOTOSYNTHETIC REACTION CENTER,1,Q93RD8,0.1223702102812099,9.940404105000002,5.9540906719343045,2.0,True,2.2,89,False,0.1223702102812099,False,Q93RD8,0,False
6FL9,Cys-loop ligand-gated ion channel,1,G2FID1,0.0798725967162541,23.3051928,5.947141876236902,5.0,False,2.3,90,False,0.0798725967162541,False,G2FID1,0,False
6K33,Photosystem I P700 chlorophyll a apoprotein A2,4,"P0A409,P0A417,P23318,P25936",0.0341324658588422,125.947294515,5.8692710082672335,2.0,True,2.74,91,False,0.0341324658588422,False,P0A409,0,False
1DXR,PHOTOSYNTHETIC REACTION CENTER CYTOCHROME C SUBUNIT,4,"P06008,P06009,P06010,P07173",0.1193934304477141,10.284952035000002,5.86439376445523,2.0,True,2.0,92,False,0.1193934304477141,False,P06008,0,False
7X06,Chitin synthase,1,G4Z2L3,-0.0976835083667801,15.226218854999996,5.81158451024953,2.0,False,3.1,93,False,0.0976835083667801,False,G4Z2L3,0,False
7O3J,TrwH protein,3,"O50334,O50336,O50337",-0.0801938704857977,22.50194860000001,5.788452439439776,14.0,False,2.6,94,False,0.0801938704857977,False,O50334,0,False
6U9V,P2X purinoceptor 7,1,Q64663,-0.1645846392628328,5.32631276,5.771188448661002,3.0,False,2.9,95,False,0.1645846392628328,False,Q64663,1,True
8B64,Reaction center protein L chain,6,"P02948,P02950,P11847,P19056,P19057,P26240",-0.0979717091967515,14.840359765,5.697781492159011,3.0,True,2.589,96,False,0.0979717091967515,False,P02948,0,False
1ZRT,Cytochrome b,3,"P0CY47,P0CY48,P0CY49",0.0784341755909195,23.006521105,5.661371001201961,2.0,True,3.51,97,False,0.0784341755909195,False,P0CY47,0,False
5EKE,Uncharacterized glycosyltransferase sll0501,1,Q55487,-0.1505870649700836,6.222994945,5.644620867627787,4.0,False,3.001,98,False,0.1505870649700836,False,Q55487,0,False
6VXN,"Mechanosensitive ion channel protein 1, mitochondrial",1,Q8VZL4,-0.0502751041876401,55.306696975,5.591697542821856,7.0,False,2.96,99,False,0.0502751041876401,False,Q8VZL4,0,False
7A5V,"Gamma-aminobutyric acid receptor subunit beta-3,Gamma-aminobutyric acid receptor subunit beta-3",1,P28472,0.0766529893487476,23.790090845000005,5.5913191775848174,5.0,False,1.7,100,False,0.0766529893487476,False,P28472,0,False
7YFI,Glutamate receptor,2,"G3V9C5,Q00961",-0.105187367347097,12.616490830000002,5.58374708757342,4.0,False,3.3,101,False,0.105187367347097,False,G3V9C5,0,False
7PXE,Isoform J of Calcium-activated potassium channel slowpoke,1,Q03720,-0.0496456118234038,55.13011382500001,5.435138494244345,4.0,False,2.38,102,False,0.0496456118234038,False,Q03720,0,False
7NHS,Putative transmembrane protein Wzc,1,Q9X4B9,0.0470121991058371,60.94839302000001,5.388195989829282,8.0,False,2.3,103,False,0.0470121991058371,False,Q9X4B9,0,False
5HK7,Ion transport protein,1,Q0ABW0,0.1131090045202619,10.415919109999995,5.330303650777243,4.0,False,2.95,104,False,0.1131090045202619,False,Q0ABW0,0,False
8E4Q,Transient receptor potential cation channel subfamily M member 8,1,A0A803VFM3,-0.0579555951291655,39.576176555,5.317219218643867,4.0,False,3.51,105,False,0.0579555951291655,False,A0A803VFM3,0,False
7D4P,Short transient receptor potential channel 5,1,Q9UL62,-0.0553094630145925,42.98236744000002,5.2595575057599255,4.0,False,2.7,106,False,0.0553094630145925,False,Q9UL62,0,False
4RFS,Substrate binding pritein S,1,Q03SM0,-0.195205120464641,3.4194014850000007,5.211857085310119,1.0,True,3.232,107,False,0.195205120464641,False,Q03SM0,0,False
6A7F,major coat protein p8,1,P03620,0.0984123544940297,13.324438275,5.1618828665178205,10.0,False,3.4,108,False,0.0984123544940297,False,P03620,0,False
6U8Y,Monovalent cation/H+ antiporter subunit E,10,"I6TXQ1,I6TXQ5,I6U853,I6U860,I6UQN0,I6UQN5,I6UZV7,I6UZW2,I6V2A1,I6V2A4",-0.0355301438158674,101.88661527500004,5.144830333073558,4.0,True,4.0,109,False,0.0355301438158674,False,I6TXQ1,0,False
1QL1,PF1 BACTERIOPHAGE COAT PROTEIN B,1,P03621,0.1106198964296346,10.421603909999996,5.101067253972372,6.0,False,3.1,110,False,0.1106198964296346,False,P03621,0,False
7XUJ,Chloride anion exchanger,1,P40879,-0.0606388328810224,34.425952060000014,5.06346274079505,2.0,False,2.8,111,False,0.0606388328810224,False,P40879,0,False
5FGN,lipooligosaccharide phosphoethanolamine transferase A,1,Q7DD94,0.1812081522905275,3.850366404999999,5.057286003072672,1.0,False,2.75,112,False,0.1812081522905275,False,Q7DD94,0,False
6QFA,"Outer membrane protein,Outer membrane protein,Outer membrane protein,Outer membrane protein,Uncharacterized protein,Uncharacterized protein,Mb-c7HopQ-Nb25",1,B5Z8H1,0.0733263252874335,23.25462475,5.0013721265262445,5.0,False,2.49,113,False,0.0733263252874335,False,B5Z8H1,0,False
6L3T,Gap junction gamma-3 protein,1,Q8NFK1,-0.0609258780524337,33.57213347999999,4.984740177302635,6.0,False,2.34,114,False,0.0609258780524337,False,Q8NFK1,0,False
7WWB,Choline transporter-like protein 1,1,Q8WWI5,0.0551409806192767,40.83739597999999,4.966689418233337,2.0,False,3.86,115,False,0.0551409806192767,False,Q8WWI5,0,False
7PUY,Glycoprotein G2,1,P08669,0.1667085711038336,4.432211095,4.927155696577615,6.0,False,3.3,116,False,0.1667085711038336,False,P08669,1,True
5Z96,Short transient receptor potential channel 4,1,Q9QUQ5,-0.051439442665653,46.27469050500001,4.897743343352691,4.0,False,3.28,117,False,0.051439442665653,False,Q9QUQ5,0,False
4Y7K,"Large conductance mechanosensitive channel protein,Riboflavin synthase",1,Q58584,0.1094440263730486,10.102282435,4.840203502925183,5.0,False,3.5,118,False,0.1094440263730486,False,Q58584,0,False
7XNH,Gap junction delta-2 protein,1,Q9UKL4,0.0592331975083876,33.89270191,4.7565989727859925,6.0,False,3.1,119,False,0.0592331975083876,False,Q9UKL4,0,False
6UIW,Calcium homeostasis modulator protein 2,1,Q9HA72,-0.0380369087192796,81.34852232500002,4.707822590298447,11.0,False,2.7,120,False,0.0380369087192796,False,Q9HA72,0,False
4J7C,Ktr system potassium uptake protein A,2,"O32080,O32081",0.0691092405897574,24.43578748,4.66829800856827,2.0,False,3.5,121,False,0.0691092405897574,False,O32080,0,False
7M6N,Glycine receptor subunit alphaZ1,1,O93430,0.0680691756280325,25.00519925,4.634376281513054,5.0,False,2.61,122,False,0.0680691756280325,False,O93430,0,False
4X5T,"Proton-gated ion channel,GLRA1 protein,GLRA1 protein",1,P23415,0.0693822572402996,23.86344014499999,4.595046308531175,5.0,False,3.5,123,False,0.0693822572402996,False,P23415,0,False
7W4O,ATP-binding cassette sub-family C member 8 isoform X2,2,"A0A1U7R319,Q61743",-0.0243086229637646,193.2688854,4.568174114775959,4.0,True,2.96,124,False,0.0243086229637646,False,A0A1U7R319,0,False
7VH5,Plasma membrane ATPase 1,1,P05030,-0.0347081543485635,94.75616648,4.565943297175131,6.0,False,3.2,125,False,0.0347081543485635,False,P05030,0,False
3TIJ,NupC family protein,1,Q9KPL5,0.0516662983878935,42.70094639,4.559447164574998,3.0,False,2.436,126,False,0.0516662983878935,False,Q9KPL5,0,False
5TIN,Glycine receptor subunit alpha-3,1,O75311,0.0688581308112959,23.970940945,4.546273218510363,5.0,False,2.61,127,False,0.0688581308112959,False,O75311,0,False
6BL6,Lipid A export ATP-binding/permease protein MsbA,1,P63359,-0.0959047073568518,12.299070485,4.524932766972068,2.0,False,2.8,128,False,0.0959047073568518,False,P63359,0,False
8J3W,ATP-binding cassette sub-family C member 4,1,O15439,-0.10210819309008,10.830698579999996,4.516870535364814,1.0,False,3.07,129,False,0.10210819309008,False,O15439,0,False
7QEQ,Gap junction beta-2 protein,1,P29033,-0.0559674001152704,35.721631784999985,4.475705955208637,6.0,False,1.9,130,False,0.0559674001152704,False,P29033,0,False
7MLY,Glycine receptor alpha 1,2,"A0A4X1TUM3,Q6KBX4",0.068087663042,23.56259339,4.3693812096355575,5.0,False,2.7,131,False,0.068087663042,False,A0A4X1TUM3,0,False
7B1L,CDP-diacylglycerol--serine O-phosphatidyltransferase,1,Q58609,-0.0951359710580237,12.04263264,4.359843905080679,2.0,False,1.85,132,False,0.0951359710580237,False,Q58609,0,False
6K61,Photosystem I reaction center subunit III,12,"P0A410,P58560,P58564,P58565,P58566,P58568,P58573,P58575,P58576,P58577,P58583,Q8YNB0",0.0289487259775414,129.63302186,4.345447896690375,4.0,True,2.37,133,False,0.0289487259775414,False,P0A410,0,False
4HUQ,Energy-coupling factor transporter transmembrane protein EcfT,4,"Q03PY5,Q03PY6,Q03PY7,Q03S56",-0.1755872109145216,3.50145573,4.318116865959719,1.0,False,2.998,134,False,0.1755872109145216,False,Q03PY5,0,False
7FIX,Photosystem I 4.8K protein,11,"P0A401,P0A403,P0A405,P0A407,P0A415,P0A423,P0A425,P0A427,P0A429,Q8DGB4,Q8DKP6",0.0235760142579299,192.873333215,4.288179420697421,6.0,True,1.97,135,False,0.0235760142579299,False,P0A401,0,False
6RBG,Chain length determinant protein,1,P76372,0.0415369236247798,61.19220686999999,4.223035802785303,8.0,False,3.0,136,False,0.0415369236247798,False,P76372,0,False
7N72,Isoform 3 of Polyamine-transporting ATPase 13A2,1,Q9NQ11,-0.0926704738877014,12.28540247,4.220191394946643,1.0,False,2.5,137,False,0.0926704738877014,False,Q9NQ11,0,False
5KUK,ATP-sensitive inward rectifier potassium channel 12,1,F1NHE9,0.0960495285189079,11.3969032,4.20569065687562,4.0,False,2.0,138,False,0.0960495285189079,False,F1NHE9,0,False
